"ArtistId","Name"
"1","Men At Work"
"2","Aaron Copland & London Symphony Orchestra"
"3","Aaron Goldberg"
"4","AC/DC"
"5","Accept"
"6","Adrian Leaper & Doreen de Feis"
"7","Aerosmith"
"8","Aisha Duo"
"9","Alanis Morissette"
"10","Alice In Chains"
"11","Amy Winehouse"
"12","Anita Ward"
"13","Antônio Carlos Jobim"
"14","Apocalyptica"
"15","Audioslave"
"16","Barry Wordsworth & BBC Concert Orchestra"
"17","Berliner Philharmoniker & Hans Rosbaud"
"18","Berliner Philharmoniker & Herbert Von Karajan"
"19","Billy Cobham"
"20","Black Label Society"
"21","Black Sabbath"
"22","Boston Symphony Orchestra & Seiji Ozawa"
"23","Britten Sinfonia, Ivor Bolton & Lesley Garrett"
"24","Bruce Dickinson"
"25","Caetano Veloso"
"26","Cake"
"27","Calexico"
"28","Cássia Eller"
"29","Chic"
"30","Chicago Symphony Orchestra & Fritz Reiner"
"31","Chico Buarque"
"32","Chico Science & Nação Zumbi"
"33","Chris Cornell"
"34","Christopher O'Riley"
"35","Cidade Negra"
"36","Cláudio Zoli"
"37","Creedence Clearwater Revival"
"38","David Coverdale"
"39","Deep Purple"
"40","Dennis Chambers"
"41","Djavan"
"42","Donna Summer"
"43","Dread Zeppelin"
"44","Ed Motta"
"45","Edo de Waart & San Francisco Symphony"
"46","Elis Regina"
"47","English Concert & Trevor Pinnock"
"48","Eric Clapton"
"49","Eugene Ormandy"
"50","Faith No More"
"51","Falamansa"
"52","Foo Fighters"
"53","Frank Zappa & Captain Beefheart"
"54","Funk Como Le Gusta"
"55","Gilberto Gil"
"56","Godsmack"
"57","Gonzaguinha"
"58","Göteborgs Symfoniker & Neeme Järvi"
"59","Guns N' Roses"
"60","Incognito"
"61","Iron Maiden"
"62","James Levine"
"63","Jamiroquai"
"64","Jimi Hendrix"
"65","Joe Satriani"
"66","Jorge Ben"
"67","Jota Quest"
"68","Judas Priest"
"69","Kent Nagano and Orchestre de l'Opéra de Lyon"
"70","Kiss"
"71","Led Zeppelin"
"72","Legião Urbana"
"73","Lenny Kravitz"
"74","London Symphony Orchestra & Sir Charles Mackerras"
"75","Luciana Souza/Romero Lubambo"
"76","Marcos Valle"
"77","Marillion"
"78","Marisa Monte"
"79","Martin Roscoe"
"80","Metallica"
"81","Michael Tilson Thomas & San Francisco Symphony"
"82","Miles Davis"
"83","Milton Nascimento"
"84","Mötley Crüe"
"85","Motörhead"
"86","Nash Ensemble"
"87","Nicolaus Esterhazy Sinfonia"
"88","Nirvana"
"89","O Terço"
"90","Olodum"
"91","Orchestra of The Age of Enlightenment"
"92","Os Paralamas Do Sucesso"
"93","Ozzy Osbourne"
"94","Page & Plant"
"95","Paul D'Ianno"
"96","Pearl Jam"
"97","Pink Floyd"
"98","Queen"
"99","R.E.M."
"100","Raul Seixas"
"101","Red Hot Chili Peppers"
"102","Roger Norrington, London Classical Players"
"103","Royal Philharmonic Orchestra & Sir Thomas Beecham"
"104","Rush"
"105","Santana"
"106","Scholars Baroque Ensemble"
"107","Sergei Prokofiev & Yuri Temirkanov"
"108","Sir Georg Solti & Wiener Philharmoniker"
"109","Skank"
"110","Soundgarden"
"111","Spyro Gyra"
"112","Stevie Ray Vaughan & Double Trouble"
"113","Stone Temple Pilots"
"114","System Of A Down"
"115","Temple of the Dog"
"116","Terry Bozzio, Tony Levin & Steve Stevens"
"117","The 12 Cellists of The Berlin Philharmonic"
"118","The Black Crowes"
"119","The Cult"
"120","The Doors"
"121","The King's Singers"
"122","The Police"
"123","The Posies"
"124","The Rolling Stones"
"125","The Who"
"126","Tim Maia"
"127","Ton Koopman"
"128","U2"
"129","UB40"
"130","Van Halen"
"131","Various Artists"
"132","Velvet Revolver"
"133","Vinícius De Moraes"
"134","Wilhelm Kempff"
"135","Yehudi Menuhin"
"136","Yo-Yo Ma"
"137","Zeca Pagodinho"
